time,rate
195807,2.937601155
195808,2.71203125
195809,2.710639962
195810,2.587431085
195811,2.412857101
195812,2.355792642
195901,2.479078298
195902,2.25146607
195903,2.363431931
195904,2.204731329
195905,2.153417708
195906,2.096909957
195907,2.027336337
195908,1.954554642
195909,1.887676294
195910,1.86899626
195911,1.905936204
195912,1.986346758
196001,1.953660634
196002,1.940389162
196003,2.014338569
196004,1.88594444
196005,2.04786485
196006,2.021195437
196007,2.085635898
196008,2.122400114
196009,2.087809079
196010,2.132143845
196011,2.255931625
196012,2.361126031
196101,2.463225619
196102,2.442375733
196103,2.794118655
196104,2.837458513
196105,2.930985971
196106,2.819772413
196107,2.936876954
196108,2.860610369
196109,2.89801399
196110,2.808569196
196111,2.778301574
196112,2.695127338
196201,2.793215894
196202,2.737332571
196203,2.853116067
196204,2.750857617
196205,2.846109028
196206,2.847961331
196207,2.888416938
196208,2.649457535
196209,2.644863358
196210,2.540595742
196211,2.307666125
196212,2.288809634
196301,2.069580911
196302,2.026094442
196303,1.991572864
196304,1.909668286
196305,1.836775489
196306,1.787693761
196307,1.818579828
196308,1.754111639
196309,1.860603797
196310,1.980013337
196311,1.992699119
196312,1.999182957
196401,2.044156684
196402,1.955027968
196403,1.95674601
196404,1.947076232
196405,1.918211445
196406,1.88805906
196407,1.885247503
196408,1.977662915
196409,2.00205448
196410,2.125661344
196411,2.131242876
196412,2.170587039
196501,2.236362911
196502,2.328465811
196503,2.357451673
196504,2.468709222
196505,2.543592584
196506,2.568788821
196507,2.545055136
196508,2.636516068
196509,3.054159631
196510,3.025712881
196511,3.011513165
196512,3.128249338
196601,3.070307574
196602,2.949241342
196603,2.77073237
196604,2.71711465
196605,2.624444092
196606,2.550448027
196607,2.631604906
196608,2.552007851
196609,2.595088717
196610,2.524376596
196611,2.633203004
196612,2.425333657
196701,2.454389876
196702,2.386476182
196703,2.242381288
196704,2.260979983
196705,2.267090644
196706,2.236519754
196707,2.191915446
196708,2.063687489
196709,2.070758513
196710,2.012758648
196711,2.093361471
196712,1.998019145
196801,1.963446225
196802,1.887216141
196803,1.859541178
196804,1.987926042
196805,1.887921187
196806,1.870510977
196807,1.818518522
196808,1.798880564
196809,1.896227525
196810,1.74453342
196811,1.836663621
196812,1.856765019
196901,1.798178625
196902,1.836425415
196903,1.867603782
196904,1.941329621
196905,1.999552549
196906,2.068345936
196907,2.112014801
196908,2.031959105
196909,2.137012164
196910,1.948329937
196911,1.916588262
196912,1.874910623
197001,1.692344383
197002,1.722819773
197003,1.71924798
197004,1.705491799
197005,1.644676021
197006,1.56306667
197007,1.554031641
197008,1.562386191
197009,1.555735746
197010,1.478490394
197011,1.516816213
197012,1.490105043
197101,1.559071663
197102,1.581994223
197103,1.430231011
197104,1.50393802
197105,1.48425704
197106,1.536732352
197107,1.484798217
197108,1.598866573
197109,1.644758492
197110,1.610029517
197111,1.667924497
197112,1.668392027
197201,1.815284346
197202,1.853184882
197203,2.009731668
197204,2.014153837
197205,2.172944145
197206,2.193686536
197207,2.270671778
197208,2.251352385
197209,2.311475544
197210,2.233097844
197211,2.513351834
197212,2.558356163
197301,2.55202347
197302,2.593616479
197303,2.523992821
197304,2.601015597
197305,2.594546522
197306,2.711195003
197307,2.56861389
197308,2.544284098
197309,2.63658812
197310,2.669633545
197311,2.729177108
197312,2.791000089
197401,2.725890166
197402,2.640711519
197403,2.731689242
197404,2.634576345
197405,2.634722099
197406,2.5735987
197407,2.522877874
197408,2.670605455
197409,2.662231896
197410,2.718088865
197411,2.839375168
197412,2.722726092
197501,2.642335668
197502,2.442360956
197503,2.434472149
197504,2.506848206
197505,2.677284757
197506,2.694296604
197507,2.752042909
197508,2.683001772
197509,2.785896784
197510,2.723048261
197511,2.977363812
197512,3.012662771
197601,3.178876705
197602,3.053520788
197603,3.181585144
197604,3.236517273
197605,3.337554212
197606,3.475539788
197607,3.456488263
197608,3.37606119
197609,3.321908286
197610,3.119248505
197611,3.156296645
197612,3.110227296
197701,3.49695035
197702,3.324604612
197703,3.354221652
197704,3.430296438
197705,3.560986688
197706,3.510235347
197707,3.40118362
197708,3.713941197
197709,3.739220602
197710,3.887474066
197711,3.7297098
197712,3.684902846
197801,3.759721237
197802,3.645065998
197803,3.630978724
197804,3.511161055
197805,3.708658854
197806,3.562079855
197807,3.574255866
197808,3.491033311
197809,3.341409205
197810,3.370548783
197811,3.331064324
197812,3.201922462
197901,3.518089576
197902,3.369593864
197903,3.512634931
197904,3.695978208
197905,3.734846752
197906,3.466808243
197907,3.553644248
197908,3.508551314
197909,3.585659747
197910,3.589158232
197911,3.582771979
197912,3.233002547
198001,3.203028573
198002,3.152723885
198003,3.217701456
198004,3.02524708
198005,2.91506718
198006,2.816376218
198007,2.659019189
198008,2.537795123
198009,2.549070706
198010,2.557176505
198011,2.593025937
198012,2.692519542
198101,2.867559713
198102,2.897167655
198103,3.024042472
198104,2.946613329
198105,3.033907576
198106,2.838053759
198107,2.902590955
198108,2.874342627
198109,2.902210692
198110,3.02953165
198111,2.985438531
198112,3.148400226
198201,3.074499995
198202,3.219504486
198203,3.195507888
198204,3.206853158
198205,3.212160047
198206,3.095457312
198207,3.349404118
198208,3.226264131
198209,3.285148891
198210,3.13344183
198211,3.307743523
198212,3.471921448
198301,3.254006264
198302,3.290787963
198303,3.078631687
198304,3.216994288
198305,3.216882699
198306,3.41725541
198307,3.329047512
198308,3.501277017
198309,3.479087902
198310,3.605160453
198311,3.462627019
198312,3.5931017
198401,3.537829362
198402,3.5233962
198403,3.266159758
198404,3.337139431
198405,3.203110158
198406,3.109879242
198407,2.863058722
198408,2.688532843
198409,2.749207449
198410,2.660437339
198411,2.527027117
198412,2.357694398
198501,2.260039217
198502,1.968493123
198503,1.922763737
198504,1.794211185
198505,1.750746628
198506,1.627779702
198507,1.654761182
198508,1.627828108
198509,1.58084014
198510,1.546918554
198511,1.54118586
198512,1.569831813
198601,1.533714147
198602,1.532478576
198603,1.453469983
198604,1.432325222
198605,1.382501624
198606,1.393813013
198607,1.359403287
198608,1.257889915
198609,1.247430486
198610,1.153901688
198611,1.08170042
198612,1.015599678
198701,1.010006624
198702,1.009369067
198703,1.054066618
198704,1.073924578
198705,1.084339187
198706,1.098664498
198707,1.027050399
198708,1.023603754
198709,0.958929968
198710,0.986900431
198711,0.970830838
198712,0.950304154
198801,0.919372652
198802,0.963142527
198803,0.94913867
198804,1.010092539
198805,0.959241383
198806,0.966144856
198807,0.894949437
198808,0.946806423
198809,0.847522077
198810,0.882439637
198811,0.807230264
198812,0.849999199
198901,0.83983612
198902,0.861884337
198903,0.831407361
198904,0.843339537
198905,0.843311826
198906,0.818717367
198907,0.784069598
198908,0.783741883
198909,0.712471537
198910,0.705929273
198911,0.655793696
198912,0.683560734
199001,0.662575835
199002,0.643065843
199003,0.659304262
199004,0.68483216
199005,0.683482039
199006,0.676609697
199007,0.633371306
199008,0.588957441
199009,0.572904787
199010,0.546771239
199011,0.519834861
199012,0.518232593
199101,0.514504118
199102,0.517651039
199103,0.529794781
199104,0.53204793
199105,0.54356405
199106,0.553663291
199107,0.531650705
199108,0.564352966
199109,0.565954042
199110,0.586108797
199111,0.563254492
199112,0.58134458
199201,0.590116316
199202,0.587384671
199203,0.597670218
199204,0.609638554
199205,0.644859945
199206,0.667532271
199207,0.650728262
199208,0.667850081
199209,0.654603971
199210,0.670824704
199211,0.686056738
199212,0.723338702
199301,0.713837866
199302,0.742693344
199303,0.761573584
199304,0.783505389
199305,0.748962402
199306,0.737102569
199307,0.687857219
199308,0.654828688
199309,0.617745196
199310,0.60196316
199311,0.624496278
199312,0.627918442
199401,0.67950726
199402,0.661996748
199403,0.669649163
199404,0.607542175
199405,0.576223278
199406,0.573018886
199407,0.564255212
199408,0.528919123
199409,0.515556406
199410,0.535811248
199411,0.53831025
199412,0.542806276
199501,0.542375172
199502,0.521259808
199503,0.544410786
199504,0.512424001
199505,0.52059536
199506,0.491993602
199507,0.472764253
199508,0.475672142
199509,0.455512654
199510,0.4173209
199511,0.412970166
199512,0.385196245
199601,0.402592223
199602,0.39165191
199603,0.436377751
199604,0.424679077
199605,0.433870241
199606,0.41061496
199607,0.408294697
199608,0.4018282
199609,0.423926888
199610,0.429806509
199611,0.425094212
199612,0.417017777
199701,0.395122931
199702,0.384500756
199703,0.36495093
199704,0.336658394
199705,0.316065682
199706,0.326521406
199707,0.294347555
199708,0.323200565
199709,0.300641641
199710,0.309334797
199711,0.30271925
199712,0.301927554
199801,0.304330682
199802,0.292979612
199803,0.304638551
199804,0.307476501
199805,0.322056801
199806,0.322828743
199807,0.354295134
199808,0.372192436
199809,0.386495927
199810,0.376089689
199811,0.36475226
199812,0.364248549
199901,0.378383531
199902,0.3617774
199903,0.366912122
199904,0.366910175
199905,0.368782095
199906,0.394195654
199907,0.369949634
199908,0.388393953
199909,0.360893474
199910,0.38601226
199911,0.363274144
199912,0.374600601
200001,0.354708302
200002,0.371555885
200003,0.365329375
200004,0.36955022
200005,0.356113174
200006,0.362426545
200007,0.348337206
200008,0.338372989
200009,0.354735884
200010,0.34160401
200011,0.360448339
200012,0.355890577
200101,0.35189858
200102,0.355769794
200103,0.352153696
200104,0.340415003
200105,0.34316855
200106,0.351513817
200107,0.337750275
200108,0.344424062
200109,0.340126402
200110,0.352903554
200111,0.33392355
200112,0.3579213
200201,0.357828095
200202,0.384094255
200203,0.400735888
200204,0.422300157
200205,0.43818304
200206,0.459569057
200207,0.487842047
200208,0.498691476
200209,0.539045201
200210,0.536553149
200211,0.536671713
200212,0.572987221
200301,0.55355548
200302,0.591169604
200303,0.602642542
200304,0.656226483
200305,0.66119406
200306,0.636805626
200307,0.653892685
200308,0.612628647
200309,0.585258416
200310,0.574815545
200311,0.591770688
200312,0.588947982
200401,0.636436558
200402,0.638283608
200403,0.667804304
200404,0.649583043
200405,0.734512853
200406,0.746861606
200407,0.796207473
200408,0.808065914
200409,0.779951802
200410,0.773546023
200411,0.710812141
200412,0.736607663
200501,0.648302841
200502,0.674820093
200503,0.65608444
200504,0.699002495
200505,0.709173598
200506,0.735234732
200507,0.74159068
200508,0.820663482
200509,0.806152762
200510,0.875412448
200511,0.916436486
200512,0.924913296
200601,0.943920213
200602,0.985508447
200603,1.048318243
200604,1.077870394
200605,1.109203596
200606,1.093840171
200607,1.105703456
200608,1.091326919
200609,1.132272225
200610,1.116886342
200611,1.221100424
200612,1.260922095
